Agents,X_DIM,Y_DIM,TRIAL_NO,SCORE,DONE_RATIO,STEPS,ACTION_PROB
10,35,35,583,-0.10833333333333256,0.0,130,[0.01162791 0.01627907 0.01162791 0.94651163 0.01395349]
10,35,35,584,-0.3983796296296284,50.0,586,[0. 0. 0. 1. 0.]
10,35,35,585,-0.0406250000000002,10.0,56,[0.01840491 0.         0.01226994 0.93251534 0.03680982]
10,35,35,586,-0.1092361111111098,10.0,121,[0.03821656 0.03503185 0.01910828 0.89171975 0.01592357]
10,35,35,587,-0.05115740740740757,0.0,65,[0.03125    0.05357143 0.04464286 0.82142857 0.04910714]
10,35,35,588,-0.42050925925929644,0.0,586,[0. 0. 0. 1. 0.]
10,35,35,589,-0.055324074074074185,10.0,88,[0.01865672 0.02238806 0.00746269 0.93283582 0.01865672]
10,35,35,590,-0.12350694444444232,10.0,179,[0.01952278 0.00650759 0.01518438 0.94360087 0.01518438]
10,35,35,591,-0.08395833333333307,40.0,100,[0.01846154 0.00923077 0.01846154 0.94461538 0.00923077]
10,35,35,592,-0.14006944444444264,10.0,168,[0.12015504 0.10465116 0.0620155  0.63565891 0.07751938]
10,35,35,593,-0.14109953703703562,0.0,167,[0.02336449 0.01869159 0.02102804 0.9088785  0.02803738]
10,35,35,594,-0.3473842592592567,50.0,586,[0. 0. 0. 1. 0.]
10,35,35,595,-0.07131944444444346,20.0,135,[0.05735661 0.04987531 0.03241895 0.81546135 0.04488778]
10,35,35,596,-0.04462962962963003,20.0,74,[0.06603774 0.04245283 0.04245283 0.79245283 0.05660377]
10,35,35,597,-0.12097222222221998,20.0,230,[0.02318393 0.03709428 0.02936631 0.87017002 0.04018547]
10,35,35,598,-0.15763888888888716,30.0,261,[0.04265403 0.05687204 0.05371248 0.78988942 0.05687204]
10,35,35,599,-0.09083333333333118,10.0,174,[0.01470588 0.02731092 0.03781513 0.87815126 0.04201681]
10,35,35,600,-0.4766203703703856,10.0,539,[0.00736842 0.00789474 0.00894737 0.96789474 0.00789474]
10,35,35,601,-0.07437499999999886,50.0,168,[0.05871212 0.0530303  0.05113636 0.79356061 0.04356061]
10,35,35,602,-0.1293287037037014,0.0,151,[0.02444444 0.00888889 0.01777778 0.92888889 0.02      ]
10,35,35,603,-0.080069444444442,60.0,261,[0.07612457 0.07439446 0.06228374 0.70242215 0.08477509]
10,35,35,604,-0.11585648148148044,0.0,154,[0.01809955 0.02036199 0.0158371  0.91855204 0.02714932]
10,35,35,605,-0.056342592592592555,10.0,98,[0.03065134 0.02681992 0.04214559 0.86590038 0.03448276]
10,35,35,606,-0.11805555555555508,0.0,170,[0.04063205 0.02934537 0.04063205 0.8261851  0.06320542]
10,35,35,607,-0.06590277777777812,20.0,67,[0.01865672 0.01119403 0.00746269 0.95149254 0.01119403]
10,35,35,608,-0.05315972222222205,30.0,97,[0.04024768 0.04024768 0.05263158 0.84520124 0.02167183]
